order_id,step_id,exception_code,exception_label,minutes_added,rework_flag
BL-10750,stage_ship,missed_sla,Missed same-day dock,17.5,0
BL-10751,stage_ship,missed_sla,Missed same-day dock,7.5,0
BL-10752,pick,short_pick,Short pick / slot empty,9.9,1
BL-10752,qc,weight_fail,In-line weight fail,13.6,1
BL-10752,stage_ship,missed_sla,Missed same-day dock,43.2,0
BL-10753,stage_ship,missed_sla,Missed same-day dock,6.9,0
BL-10754,stage_ship,missed_sla,Missed same-day dock,72.9,0
BL-10755,stage_ship,missed_sla,Missed same-day dock,9.2,0
BL-10756,stage_ship,missed_sla,Missed same-day dock,5.2,0
BL-10757,stage_ship,label_mismatch,Label mismatch,4.0,1
BL-10758,stage_ship,missed_sla,Missed same-day dock,19.8,0
BL-10759,pack,damaged_carton,Damaged carton,14.0,0
BL-10761,pick,short_pick,Short pick / slot empty,11.2,1
BL-10761,stage_ship,missed_sla,Missed same-day dock,2.0,0
BL-10762,pick,short_pick,Short pick / slot empty,12.3,1
BL-10764,pack,damaged_carton,Damaged carton,15.7,0
BL-10766,stage_ship,missed_sla,Missed same-day dock,7.6,0
BL-10771,qc,weight_fail,In-line weight fail,12.1,1
BL-10771,stage_ship,missed_sla,Missed same-day dock,29.0,0
BL-10772,qc,weight_fail,In-line weight fail,9.0,1
BL-10772,stage_ship,missed_sla,Missed same-day dock,10.2,0
BL-10777,stage_ship,label_mismatch,Label mismatch,15.7,1
BL-10778,qc,weight_fail,In-line weight fail,12.6,1
BL-10778,stage_ship,missed_sla,Missed same-day dock,29.8,0
BL-10783,stage_ship,label_mismatch,Label mismatch,7.0,1
BL-10783,stage_ship,missed_sla,Missed same-day dock,23.9,0
BL-10784,stage_ship,weight_fail,In-line weight fail,9.0,1
BL-10784,stage_ship,missed_sla,Missed same-day dock,8.8,0
BL-10785,stage_ship,missed_sla,Missed same-day dock,8.3,0
BL-10789,stage_ship,missed_sla,Missed same-day dock,51.2,0
BL-10790,stage_ship,missed_sla,Missed same-day dock,12.4,0
BL-10792,stage_ship,missed_sla,Missed same-day dock,36.1,0
BL-10794,stage_ship,missed_sla,Missed same-day dock,6.4,0
BL-10795,stage_ship,missed_sla,Missed same-day dock,26.4,0
BL-10797,pack,damaged_carton,Damaged carton,17.6,0
BL-10797,stage_ship,missed_sla,Missed same-day dock,5.1,0
BL-10800,pack,damaged_carton,Damaged carton,4.0,0
BL-10800,stage_ship,missed_sla,Missed same-day dock,0.8,0
BL-10802,stage_ship,missed_sla,Missed same-day dock,19.4,0
BL-10803,stage_ship,missed_sla,Missed same-day dock,9.8,0
BL-10804,qc,weight_fail,In-line weight fail,8.8,1
BL-10804,stage_ship,missed_sla,Missed same-day dock,37.0,0
BL-10805,stage_ship,missed_sla,Missed same-day dock,27.7,0
BL-10806,slot_locate,label_mismatch,Label mismatch,4.0,1
BL-10806,stage_ship,missed_sla,Missed same-day dock,5.2,0
BL-10807,stage_ship,missed_sla,Missed same-day dock,14.6,0
BL-10808,pack,damaged_carton,Damaged carton,11.0,0
BL-10808,stage_ship,missed_sla,Missed same-day dock,37.3,0
BL-10815,stage_ship,missed_sla,Missed same-day dock,17.2,0
BL-10817,pack,damaged_carton,Damaged carton,4.9,0
BL-10823,wave_release,label_mismatch,Label mismatch,5.8,1
BL-10823,pick,short_pick,Short pick / slot empty,15.1,1
BL-10825,stage_ship,weight_fail,In-line weight fail,14.5,1
BL-10828,stage_ship,missed_sla,Missed same-day dock,7.3,0
BL-10829,pack,damaged_carton,Damaged carton,4.6,0
BL-10829,stage_ship,missed_sla,Missed same-day dock,3.7,0
BL-10831,stage_ship,label_mismatch,Label mismatch,12.7,1
BL-10831,stage_ship,missed_sla,Missed same-day dock,5.9,0
BL-10833,pack,damaged_carton,Damaged carton,7.4,0
BL-10833,stage_ship,missed_sla,Missed same-day dock,10.2,0
BL-10834,qc,label_mismatch,Label mismatch,14.0,1
BL-10835,pick,short_pick,Short pick / slot empty,8.6,1
BL-10835,stage_ship,missed_sla,Missed same-day dock,20.4,0
BL-10836,stage_ship,missed_sla,Missed same-day dock,3.5,0
BL-10837,stage_ship,missed_sla,Missed same-day dock,21.1,0
BL-10838,stage_ship,missed_sla,Missed same-day dock,38.5,0
BL-10839,stage_ship,missed_sla,Missed same-day dock,25.0,0
BL-10845,pick,short_pick,Short pick / slot empty,7.1,1
BL-10846,wave_release,label_mismatch,Label mismatch,10.3,1
BL-10849,pick,short_pick,Short pick / slot empty,13.0,1
BL-10849,stage_ship,missed_sla,Missed same-day dock,30.8,0
BL-10850,pack,damaged_carton,Damaged carton,15.4,0
BL-10850,stage_ship,missed_sla,Missed same-day dock,22.7,0
BL-10851,stage_ship,missed_sla,Missed same-day dock,37.1,0
BL-10855,stage_ship,missed_sla,Missed same-day dock,15.2,0
BL-10856,qc,weight_fail,In-line weight fail,14.4,1
BL-10856,stage_ship,missed_sla,Missed same-day dock,30.1,0
BL-10857,slot_locate,label_mismatch,Label mismatch,9.2,1
BL-10857,pack,damaged_carton,Damaged carton,13.4,0
BL-10857,stage_ship,missed_sla,Missed same-day dock,44.1,0
BL-10858,qc,weight_fail,In-line weight fail,7.9,1
BL-10859,stage_ship,missed_sla,Missed same-day dock,7.3,0
BL-10861,stage_ship,label_mismatch,Label mismatch,5.3,1
BL-10861,stage_ship,missed_sla,Missed same-day dock,10.1,0
BL-10862,stage_ship,missed_sla,Missed same-day dock,40.7,0
BL-10866,stage_ship,missed_sla,Missed same-day dock,8.3,0
BL-10869,stage_ship,missed_sla,Missed same-day dock,11.2,0
BL-10870,stage_ship,missed_sla,Missed same-day dock,48.5,0
BL-10871,stage_ship,missed_sla,Missed same-day dock,15.1,0
BL-10872,stage_ship,missed_sla,Missed same-day dock,18.2,0
BL-10875,qc,weight_fail,In-line weight fail,7.7,1
BL-10875,stage_ship,missed_sla,Missed same-day dock,32.3,0
BL-10878,pack,damaged_carton,Damaged carton,4.7,0
BL-10878,stage_ship,label_mismatch,Label mismatch,6.0,1
BL-10878,stage_ship,missed_sla,Missed same-day dock,38.6,0
BL-10880,pack,damaged_carton,Damaged carton,9.3,0
BL-10880,stage_ship,missed_sla,Missed same-day dock,83.4,0
BL-10881,stage_ship,missed_sla,Missed same-day dock,30.2,0
BL-10882,stage_ship,weight_fail,In-line weight fail,4.7,1
BL-10882,stage_ship,missed_sla,Missed same-day dock,8.7,0
BL-10883,stage_ship,missed_sla,Missed same-day dock,21.0,0
BL-10884,wave_release,weight_fail,In-line weight fail,6.6,1
BL-10884,stage_ship,missed_sla,Missed same-day dock,0.8,0
BL-10887,pick,short_pick,Short pick / slot empty,10.2,1
BL-10887,stage_ship,missed_sla,Missed same-day dock,4.9,0
BL-10893,stage_ship,missed_sla,Missed same-day dock,12.8,0
BL-10895,stage_ship,missed_sla,Missed same-day dock,0.8,0
BL-10896,stage_ship,missed_sla,Missed same-day dock,5.3,0
BL-10899,stage_ship,missed_sla,Missed same-day dock,36.6,0
BL-10900,wave_release,weight_fail,In-line weight fail,11.6,1
BL-10900,stage_ship,missed_sla,Missed same-day dock,9.3,0
BL-10904,slot_locate,weight_fail,In-line weight fail,18.1,1
BL-10904,stage_ship,missed_sla,Missed same-day dock,16.1,0
BL-10906,qc,label_mismatch,Label mismatch,4.0,1
BL-10906,stage_ship,missed_sla,Missed same-day dock,0.9,0
BL-10907,stage_ship,missed_sla,Missed same-day dock,39.9,0
BL-10908,stage_ship,missed_sla,Missed same-day dock,12.3,0
BL-10909,qc,label_mismatch,Label mismatch,4.4,1
BL-10909,stage_ship,missed_sla,Missed same-day dock,42.3,0
BL-10910,stage_ship,missed_sla,Missed same-day dock,8.8,0
BL-10914,stage_ship,missed_sla,Missed same-day dock,6.4,0
BL-10916,stage_ship,missed_sla,Missed same-day dock,14.4,0
BL-10917,stage_ship,weight_fail,In-line weight fail,4.0,1
BL-10920,stage_ship,missed_sla,Missed same-day dock,26.0,0
BL-10922,stage_ship,missed_sla,Missed same-day dock,55.2,0
BL-10925,stage_ship,missed_sla,Missed same-day dock,7.3,0
BL-10927,stage_ship,missed_sla,Missed same-day dock,22.1,0
BL-10931,qc,label_mismatch,Label mismatch,10.9,1
BL-10942,stage_ship,missed_sla,Missed same-day dock,54.9,0
BL-10948,pack,damaged_carton,Damaged carton,14.2,0
BL-10953,stage_ship,missed_sla,Missed same-day dock,1.4,0
BL-10958,pick,short_pick,Short pick / slot empty,6.6,1
BL-10958,stage_ship,weight_fail,In-line weight fail,14.0,1
BL-10961,pick,short_pick,Short pick / slot empty,6.5,1
BL-10961,stage_ship,missed_sla,Missed same-day dock,3.8,0
BL-10963,pack,damaged_carton,Damaged carton,10.4,0
BL-10963,stage_ship,missed_sla,Missed same-day dock,3.4,0
BL-10964,stage_ship,weight_fail,In-line weight fail,8.9,1
BL-10964,stage_ship,missed_sla,Missed same-day dock,28.2,0
BL-10965,pick,short_pick,Short pick / slot empty,4.0,1
BL-10966,stage_ship,missed_sla,Missed same-day dock,5.1,0
BL-10967,stage_ship,missed_sla,Missed same-day dock,13.7,0
BL-10969,stage_ship,missed_sla,Missed same-day dock,18.8,0
BL-10970,stage_ship,missed_sla,Missed same-day dock,58.1,0
BL-10972,qc,weight_fail,In-line weight fail,14.8,1
BL-10972,stage_ship,missed_sla,Missed same-day dock,6.6,0
BL-10974,pack,damaged_carton,Damaged carton,12.1,0
BL-10976,stage_ship,missed_sla,Missed same-day dock,4.9,0
BL-10978,stage_ship,missed_sla,Missed same-day dock,16.2,0
BL-10979,stage_ship,missed_sla,Missed same-day dock,46.5,0
BL-10980,stage_ship,missed_sla,Missed same-day dock,22.2,0
BL-10992,slot_locate,weight_fail,In-line weight fail,8.3,1
BL-10992,pack,damaged_carton,Damaged carton,9.8,0
BL-10997,stage_ship,missed_sla,Missed same-day dock,12.4,0
BL-10999,wave_release,label_mismatch,Label mismatch,9.5,1
BL-10999,stage_ship,missed_sla,Missed same-day dock,15.9,0
BL-11003,slot_locate,weight_fail,In-line weight fail,6.3,1
BL-11004,pack,damaged_carton,Damaged carton,8.1,0
BL-11005,stage_ship,missed_sla,Missed same-day dock,17.8,0
BL-11009,pack,damaged_carton,Damaged carton,7.9,0
BL-11010,pack,damaged_carton,Damaged carton,15.9,0
BL-11011,wave_release,weight_fail,In-line weight fail,4.6,1
BL-11012,stage_ship,missed_sla,Missed same-day dock,27.5,0
BL-11014,stage_ship,missed_sla,Missed same-day dock,6.8,0
BL-11018,slot_locate,weight_fail,In-line weight fail,16.4,1
BL-11018,qc,label_mismatch,Label mismatch,9.3,1
BL-11018,stage_ship,missed_sla,Missed same-day dock,24.7,0
BL-11019,stage_ship,missed_sla,Missed same-day dock,24.4,0
BL-11020,stage_ship,missed_sla,Missed same-day dock,10.9,0
BL-11021,stage_ship,missed_sla,Missed same-day dock,7.3,0
BL-11022,wave_release,weight_fail,In-line weight fail,16.1,1
BL-11022,stage_ship,missed_sla,Missed same-day dock,69.5,0
BL-11023,stage_ship,missed_sla,Missed same-day dock,9.5,0
BL-11024,pack,damaged_carton,Damaged carton,4.6,0
BL-11024,stage_ship,missed_sla,Missed same-day dock,45.3,0
BL-11025,pack,damaged_carton,Damaged carton,10.0,0
BL-11025,stage_ship,missed_sla,Missed same-day dock,16.4,0
BL-11027,qc,label_mismatch,Label mismatch,12.4,1
BL-11027,stage_ship,missed_sla,Missed same-day dock,69.9,0
BL-11028,slot_locate,weight_fail,In-line weight fail,10.9,1
BL-11032,stage_ship,label_mismatch,Label mismatch,11.6,1
BL-11033,stage_ship,missed_sla,Missed same-day dock,34.2,0
BL-11034,pick,short_pick,Short pick / slot empty,20.5,1
BL-11034,stage_ship,missed_sla,Missed same-day dock,16.9,0
BL-11039,pack,damaged_carton,Damaged carton,8.6,0
BL-11041,stage_ship,missed_sla,Missed same-day dock,6.6,0
BL-11043,qc,label_mismatch,Label mismatch,12.1,1
BL-11044,stage_ship,missed_sla,Missed same-day dock,3.4,0
BL-11045,stage_ship,missed_sla,Missed same-day dock,2.3,0
BL-11047,wave_release,label_mismatch,Label mismatch,16.3,1
BL-11047,pick,short_pick,Short pick / slot empty,12.0,1
BL-11048,stage_ship,missed_sla,Missed same-day dock,48.8,0
BL-11050,stage_ship,missed_sla,Missed same-day dock,2.1,0
BL-11052,stage_ship,missed_sla,Missed same-day dock,63.8,0
BL-11054,stage_ship,missed_sla,Missed same-day dock,4.2,0
BL-11055,stage_ship,missed_sla,Missed same-day dock,7.7,0
BL-11056,pick,short_pick,Short pick / slot empty,11.4,1
BL-11056,stage_ship,missed_sla,Missed same-day dock,7.2,0
BL-11058,wave_release,weight_fail,In-line weight fail,18.0,1
BL-11058,stage_ship,missed_sla,Missed same-day dock,15.7,0
BL-11061,stage_ship,missed_sla,Missed same-day dock,3.5,0
BL-11065,stage_ship,missed_sla,Missed same-day dock,1.3,0
BL-11066,stage_ship,missed_sla,Missed same-day dock,19.6,0
BL-11068,qc,weight_fail,In-line weight fail,8.0,1
BL-11068,stage_ship,missed_sla,Missed same-day dock,21.5,0
BL-11069,qc,label_mismatch,Label mismatch,16.5,1
BL-11069,stage_ship,missed_sla,Missed same-day dock,26.9,0
BL-11070,stage_ship,missed_sla,Missed same-day dock,8.9,0
BL-11071,stage_ship,missed_sla,Missed same-day dock,12.9,0
BL-11072,stage_ship,missed_sla,Missed same-day dock,0.3,0
BL-11076,stage_ship,missed_sla,Missed same-day dock,7.1,0
BL-11077,stage_ship,missed_sla,Missed same-day dock,27.2,0
BL-11081,stage_ship,missed_sla,Missed same-day dock,12.1,0
BL-11084,stage_ship,missed_sla,Missed same-day dock,28.1,0
BL-11085,stage_ship,missed_sla,Missed same-day dock,30.1,0
BL-11088,stage_ship,missed_sla,Missed same-day dock,48.1,0
BL-11089,pack,damaged_carton,Damaged carton,15.1,0
BL-11089,stage_ship,missed_sla,Missed same-day dock,29.9,0
BL-11090,stage_ship,missed_sla,Missed same-day dock,38.2,0
BL-11093,pack,damaged_carton,Damaged carton,9.3,0
BL-11093,stage_ship,missed_sla,Missed same-day dock,9.9,0
BL-11094,stage_ship,missed_sla,Missed same-day dock,5.8,0
BL-11095,pick,short_pick,Short pick / slot empty,8.1,1
BL-11098,qc,weight_fail,In-line weight fail,14.9,1
BL-11098,stage_ship,missed_sla,Missed same-day dock,36.0,0
BL-11099,qc,label_mismatch,Label mismatch,5.5,1
BL-11103,stage_ship,missed_sla,Missed same-day dock,5.1,0
BL-11104,qc,weight_fail,In-line weight fail,13.1,1
BL-11104,stage_ship,missed_sla,Missed same-day dock,14.7,0
BL-11105,pick,short_pick,Short pick / slot empty,17.3,1
BL-11105,qc,label_mismatch,Label mismatch,5.7,1
BL-11105,stage_ship,missed_sla,Missed same-day dock,28.0,0
BL-11107,pack,damaged_carton,Damaged carton,7.5,0
BL-11107,stage_ship,missed_sla,Missed same-day dock,19.3,0
BL-11116,pick,short_pick,Short pick / slot empty,14.3,1
BL-11116,stage_ship,missed_sla,Missed same-day dock,35.4,0
BL-11117,pack,damaged_carton,Damaged carton,14.8,0
BL-11117,qc,weight_fail,In-line weight fail,14.4,1
BL-11119,pack,damaged_carton,Damaged carton,12.7,0
BL-11124,qc,weight_fail,In-line weight fail,11.8,1
BL-11128,stage_ship,missed_sla,Missed same-day dock,8.1,0
BL-11131,pack,damaged_carton,Damaged carton,12.9,0
BL-11131,qc,label_mismatch,Label mismatch,10.7,1
BL-11131,stage_ship,missed_sla,Missed same-day dock,7.1,0
BL-11132,pick,short_pick,Short pick / slot empty,13.1,1
BL-11132,qc,weight_fail,In-line weight fail,8.6,1
BL-11132,stage_ship,missed_sla,Missed same-day dock,21.0,0
BL-11133,stage_ship,label_mismatch,Label mismatch,22.3,1
BL-11133,stage_ship,missed_sla,Missed same-day dock,9.1,0
BL-11135,pack,damaged_carton,Damaged carton,11.1,0
BL-11135,stage_ship,missed_sla,Missed same-day dock,9.8,0
BL-11140,pick,short_pick,Short pick / slot empty,12.8,1
BL-11143,wave_release,label_mismatch,Label mismatch,8.5,1
BL-11143,stage_ship,missed_sla,Missed same-day dock,20.1,0
BL-11145,pick,short_pick,Short pick / slot empty,9.4,1
BL-11146,stage_ship,weight_fail,In-line weight fail,12.9,1
BL-11146,stage_ship,missed_sla,Missed same-day dock,12.9,0
BL-11149,stage_ship,missed_sla,Missed same-day dock,77.2,0
BL-11150,stage_ship,missed_sla,Missed same-day dock,35.9,0
BL-11153,pack,damaged_carton,Damaged carton,5.7,0
BL-11154,stage_ship,missed_sla,Missed same-day dock,45.7,0
BL-11155,stage_ship,label_mismatch,Label mismatch,18.9,1
BL-11159,stage_ship,missed_sla,Missed same-day dock,5.5,0
BL-11163,stage_ship,missed_sla,Missed same-day dock,16.7,0
BL-11167,pack,damaged_carton,Damaged carton,12.2,0
BL-11168,pick,short_pick,Short pick / slot empty,10.0,1
BL-11169,stage_ship,missed_sla,Missed same-day dock,12.8,0
BL-11172,stage_ship,missed_sla,Missed same-day dock,4.9,0
BL-11174,slot_locate,weight_fail,In-line weight fail,12.1,1
BL-11177,pack,damaged_carton,Damaged carton,9.7,0
BL-11177,stage_ship,missed_sla,Missed same-day dock,5.1,0
BL-11178,pack,damaged_carton,Damaged carton,12.6,0
BL-11178,stage_ship,missed_sla,Missed same-day dock,70.4,0
BL-11179,stage_ship,missed_sla,Missed same-day dock,4.2,0
BL-11181,stage_ship,missed_sla,Missed same-day dock,8.8,0
BL-11182,stage_ship,missed_sla,Missed same-day dock,0.5,0
BL-11183,stage_ship,missed_sla,Missed same-day dock,5.2,0
BL-11187,stage_ship,missed_sla,Missed same-day dock,8.5,0
BL-11189,stage_ship,missed_sla,Missed same-day dock,11.5,0
BL-11193,pack,damaged_carton,Damaged carton,6.2,0
BL-11193,stage_ship,missed_sla,Missed same-day dock,21.0,0
BL-11197,stage_ship,missed_sla,Missed same-day dock,2.7,0
BL-11199,stage_ship,missed_sla,Missed same-day dock,26.0,0
BL-11201,stage_ship,missed_sla,Missed same-day dock,102.8,0
BL-11202,qc,weight_fail,In-line weight fail,9.4,1
BL-11203,pack,damaged_carton,Damaged carton,15.1,0
BL-11203,stage_ship,missed_sla,Missed same-day dock,129.4,0
BL-11206,stage_ship,missed_sla,Missed same-day dock,18.0,0
BL-11207,stage_ship,missed_sla,Missed same-day dock,25.0,0
BL-11212,stage_ship,missed_sla,Missed same-day dock,10.6,0
BL-11214,stage_ship,missed_sla,Missed same-day dock,33.3,0
BL-11215,stage_ship,missed_sla,Missed same-day dock,7.0,0
BL-11216,stage_ship,missed_sla,Missed same-day dock,3.3,0
BL-11219,wave_release,label_mismatch,Label mismatch,10.0,1
BL-11221,pick,short_pick,Short pick / slot empty,10.8,1
BL-11224,stage_ship,missed_sla,Missed same-day dock,3.2,0
BL-11229,stage_ship,missed_sla,Missed same-day dock,42.4,0
BL-11231,stage_ship,missed_sla,Missed same-day dock,26.1,0
BL-11233,stage_ship,missed_sla,Missed same-day dock,46.5,0
BL-11235,qc,label_mismatch,Label mismatch,10.1,1
BL-11237,stage_ship,missed_sla,Missed same-day dock,1.3,0
BL-11238,pick,short_pick,Short pick / slot empty,9.2,1
BL-11238,stage_ship,missed_sla,Missed same-day dock,2.6,0
BL-11242,slot_locate,weight_fail,In-line weight fail,14.2,1
BL-11244,stage_ship,missed_sla,Missed same-day dock,17.1,0
BL-11245,stage_ship,missed_sla,Missed same-day dock,19.5,0
BL-11248,stage_ship,missed_sla,Missed same-day dock,4.5,0
BL-11250,stage_ship,missed_sla,Missed same-day dock,0.8,0
BL-11252,pack,damaged_carton,Damaged carton,7.2,0
BL-11253,stage_ship,missed_sla,Missed same-day dock,10.0,0
BL-11254,stage_ship,missed_sla,Missed same-day dock,41.8,0
BL-11255,stage_ship,missed_sla,Missed same-day dock,49.8,0
BL-11256,qc,weight_fail,In-line weight fail,5.8,1
BL-11257,stage_ship,missed_sla,Missed same-day dock,41.4,0
BL-11265,qc,label_mismatch,Label mismatch,11.4,1
BL-11266,slot_locate,weight_fail,In-line weight fail,14.0,1
BL-11267,slot_locate,weight_fail,In-line weight fail,14.3,1
BL-11272,stage_ship,missed_sla,Missed same-day dock,12.0,0
BL-11275,pick,short_pick,Short pick / slot empty,12.9,1
BL-11276,qc,weight_fail,In-line weight fail,4.1,1
BL-11281,stage_ship,missed_sla,Missed same-day dock,12.1,0
BL-11282,stage_ship,missed_sla,Missed same-day dock,50.1,0
BL-11286,qc,label_mismatch,Label mismatch,8.8,1
BL-11286,stage_ship,weight_fail,In-line weight fail,10.4,1
BL-11286,stage_ship,missed_sla,Missed same-day dock,7.4,0
BL-11289,stage_ship,missed_sla,Missed same-day dock,18.0,0
BL-11290,stage_ship,missed_sla,Missed same-day dock,21.8,0
BL-11296,stage_ship,missed_sla,Missed same-day dock,0.2,0
BL-11297,stage_ship,label_mismatch,Label mismatch,7.0,1
BL-11297,stage_ship,missed_sla,Missed same-day dock,27.3,0
BL-11298,stage_ship,missed_sla,Missed same-day dock,43.0,0
BL-11300,stage_ship,weight_fail,In-line weight fail,19.3,1
BL-11303,slot_locate,label_mismatch,Label mismatch,11.7,1
BL-11303,pick,short_pick,Short pick / slot empty,9.6,1
BL-11307,qc,weight_fail,In-line weight fail,7.4,1
BL-11309,stage_ship,missed_sla,Missed same-day dock,7.6,0
BL-11310,pick,short_pick,Short pick / slot empty,11.0,1
BL-11310,stage_ship,missed_sla,Missed same-day dock,1.8,0
BL-11315,pack,damaged_carton,Damaged carton,10.2,0
BL-11320,qc,label_mismatch,Label mismatch,12.0,1
BL-11320,stage_ship,missed_sla,Missed same-day dock,7.9,0
BL-11323,stage_ship,missed_sla,Missed same-day dock,59.0,0
BL-11324,stage_ship,missed_sla,Missed same-day dock,16.1,0
BL-11325,stage_ship,missed_sla,Missed same-day dock,17.9,0
BL-11326,slot_locate,label_mismatch,Label mismatch,15.6,1
BL-11326,stage_ship,missed_sla,Missed same-day dock,46.9,0
BL-11327,pick,short_pick,Short pick / slot empty,10.4,1
BL-11328,stage_ship,missed_sla,Missed same-day dock,10.2,0
BL-11330,pack,damaged_carton,Damaged carton,13.4,0
BL-11332,stage_ship,missed_sla,Missed same-day dock,36.6,0
BL-11333,stage_ship,missed_sla,Missed same-day dock,37.3,0
BL-11337,stage_ship,weight_fail,In-line weight fail,13.0,1
BL-11343,wave_release,label_mismatch,Label mismatch,6.1,1
BL-11343,stage_ship,missed_sla,Missed same-day dock,44.9,0
BL-11348,stage_ship,missed_sla,Missed same-day dock,22.5,0
BL-11349,stage_ship,missed_sla,Missed same-day dock,3.2,0
BL-11350,stage_ship,missed_sla,Missed same-day dock,35.5,0
BL-11352,stage_ship,missed_sla,Missed same-day dock,1.1,0
BL-11356,slot_locate,label_mismatch,Label mismatch,10.8,1
BL-11357,stage_ship,missed_sla,Missed same-day dock,7.0,0
BL-11359,qc,weight_fail,In-line weight fail,12.0,1
BL-11359,stage_ship,missed_sla,Missed same-day dock,23.0,0
BL-11363,stage_ship,missed_sla,Missed same-day dock,53.9,0
BL-11367,qc,label_mismatch,Label mismatch,7.1,1
BL-11369,wave_release,label_mismatch,Label mismatch,11.9,1
BL-11369,stage_ship,missed_sla,Missed same-day dock,62.6,0
BL-11371,stage_ship,missed_sla,Missed same-day dock,17.6,0
BL-11373,pack,damaged_carton,Damaged carton,11.4,0
BL-11375,stage_ship,missed_sla,Missed same-day dock,8.4,0
BL-11377,stage_ship,missed_sla,Missed same-day dock,13.5,0
BL-11378,qc,weight_fail,In-line weight fail,8.8,1
BL-11379,stage_ship,missed_sla,Missed same-day dock,26.8,0
BL-11380,stage_ship,missed_sla,Missed same-day dock,12.0,0
BL-11382,stage_ship,missed_sla,Missed same-day dock,52.4,0
BL-11383,stage_ship,missed_sla,Missed same-day dock,12.3,0
BL-11384,stage_ship,missed_sla,Missed same-day dock,5.6,0
BL-11385,qc,label_mismatch,Label mismatch,10.6,1
BL-11385,stage_ship,missed_sla,Missed same-day dock,53.9,0
BL-11386,qc,weight_fail,In-line weight fail,12.9,1
BL-11386,stage_ship,missed_sla,Missed same-day dock,22.3,0
BL-11387,stage_ship,missed_sla,Missed same-day dock,23.6,0
BL-11388,stage_ship,missed_sla,Missed same-day dock,28.4,0
BL-11391,pack,damaged_carton,Damaged carton,17.7,0
BL-11391,stage_ship,missed_sla,Missed same-day dock,17.3,0
BL-11394,stage_ship,missed_sla,Missed same-day dock,8.5,0
BL-11395,slot_locate,label_mismatch,Label mismatch,13.2,1
BL-11398,pack,damaged_carton,Damaged carton,13.0,0
BL-11399,qc,label_mismatch,Label mismatch,6.4,1
BL-11402,stage_ship,missed_sla,Missed same-day dock,5.9,0
BL-11405,stage_ship,missed_sla,Missed same-day dock,21.2,0
BL-11406,slot_locate,label_mismatch,Label mismatch,11.8,1
BL-11406,stage_ship,missed_sla,Missed same-day dock,4.2,0
BL-11412,stage_ship,missed_sla,Missed same-day dock,6.9,0
BL-11414,pack,damaged_carton,Damaged carton,12.0,0
BL-11416,pack,damaged_carton,Damaged carton,17.5,0
BL-11416,stage_ship,missed_sla,Missed same-day dock,43.1,0
BL-11418,pack,damaged_carton,Damaged carton,10.1,0
BL-11418,stage_ship,missed_sla,Missed same-day dock,14.4,0
BL-11419,stage_ship,missed_sla,Missed same-day dock,7.9,0
BL-11421,stage_ship,missed_sla,Missed same-day dock,0.5,0
BL-11422,stage_ship,missed_sla,Missed same-day dock,7.1,0
BL-11423,wave_release,weight_fail,In-line weight fail,10.7,1
BL-11424,stage_ship,missed_sla,Missed same-day dock,18.5,0
BL-11427,qc,label_mismatch,Label mismatch,11.4,1
BL-11428,pack,damaged_carton,Damaged carton,4.0,0
BL-11429,pack,damaged_carton,Damaged carton,9.8,0
BL-11429,stage_ship,missed_sla,Missed same-day dock,14.8,0
BL-11430,stage_ship,missed_sla,Missed same-day dock,69.1,0
BL-11431,slot_locate,label_mismatch,Label mismatch,4.0,1
BL-11431,pack,damaged_carton,Damaged carton,11.2,0
BL-11431,stage_ship,missed_sla,Missed same-day dock,60.9,0
BL-11433,stage_ship,missed_sla,Missed same-day dock,41.2,0
BL-11435,qc,label_mismatch,Label mismatch,4.0,1
BL-11436,stage_ship,missed_sla,Missed same-day dock,21.4,0
BL-11445,stage_ship,missed_sla,Missed same-day dock,24.9,0
BL-11448,pack,damaged_carton,Damaged carton,6.8,0
BL-11449,stage_ship,weight_fail,In-line weight fail,10.6,1
BL-11451,pick,short_pick,Short pick / slot empty,9.5,1
BL-11452,stage_ship,missed_sla,Missed same-day dock,0.7,0
BL-11455,slot_locate,label_mismatch,Label mismatch,9.1,1
BL-11455,stage_ship,missed_sla,Missed same-day dock,2.5,0
BL-11457,stage_ship,missed_sla,Missed same-day dock,61.8,0
BL-11458,stage_ship,missed_sla,Missed same-day dock,25.2,0
BL-11459,wave_release,weight_fail,In-line weight fail,13.9,1
BL-11461,stage_ship,missed_sla,Missed same-day dock,10.4,0
BL-11462,stage_ship,missed_sla,Missed same-day dock,23.1,0
BL-11467,pack,damaged_carton,Damaged carton,8.1,0
BL-11467,stage_ship,missed_sla,Missed same-day dock,12.0,0
BL-11468,stage_ship,missed_sla,Missed same-day dock,9.9,0
BL-11473,pick,short_pick,Short pick / slot empty,14.4,1
BL-11474,stage_ship,label_mismatch,Label mismatch,13.4,1
BL-11474,stage_ship,missed_sla,Missed same-day dock,14.3,0
BL-11475,pick,short_pick,Short pick / slot empty,13.9,1
BL-11479,stage_ship,missed_sla,Missed same-day dock,4.0,0
BL-11480,stage_ship,missed_sla,Missed same-day dock,5.9,0
BL-11481,stage_ship,missed_sla,Missed same-day dock,22.9,0
BL-11482,pack,damaged_carton,Damaged carton,11.2,0
BL-11485,stage_ship,missed_sla,Missed same-day dock,0.8,0
BL-11487,pick,short_pick,Short pick / slot empty,8.3,1
